Titulo,Reclamação,Status,Data,Localidade
cobrança por cancelamento do produto que não funciona," Tentei realizar o cancelamento da minha internet Banda Larga da vivo, após quase 30 minutos de tentativa não executei ... ",Não respondida,14/11/2019, São Paulo 
Atendimento pelo telefone não é completado," Liguei para a vivo tentando cancelar meu plano. Liguei três vezes, conversei com o atendente e aí a ligação cai, ningu... ",Não respondida,14/11/2019, Belo Horizonte 
Valor da fatura cada vez mais alto," Minha fatura da internet fixa + telefone cada vez está mais alta, comecei pagando 119, depois foi subindo pra 120 e ag... ",Não respondida,15/11/2019, Porto Alegre 
Loja Vivo se recusa a vender Chip Pré Pago Virgem p/ Portabilidade, Entrei em contato com a Vivo no 10315 para adquirir um Chip Pré Pago Virgem com o objetivo de realizar a portabilidade... ,Não respondida,15/11/2019, São Paulo 
Bloqueio de Internet e multa por cancelamento," Quando da contratação dos serviços da Vivo fiz opção por débito automático, porém a mesma por falhas em seus sistemas ... ",Não respondida,15/11/2019, São Bernardo do Campo 
Erro H1001," Este erro aparece toda hora ! Já troquei cabos, liguei na vivo mas eles não dão satisfação nenhuma ",Não respondida,15/11/2019, São Paulo 
Péssima qualidade de serviço, Estou cancelando minha vivo fixo por péssima qualidade de sinal e ainda querem me cobrar quebra do contrato e um absur... ,Não respondida,15/11/2019, Curitiba 
Não consigo navegar na internet, Há alguns meses estou tendo problemas com o serviço de internet disponibilizado pela empresa vivo. Praticamente não co... ,Não respondida,15/11/2019, Brasília 
Não consigo fazer o cancelamentodo meu plano., [Editado pelo Reclame Aqui]am o meu celular e eu pedi o cancelamento do meu plano da vivo .Dia 05.06.2019 me inf... ,Não respondida,15/11/2019, Almeirim 
recarga não creditada," No dia 09/11/2019, fiz uma recarga no valor de 25,00 ,via Banco do Brasil, transferência on-line e a mesma até hoje nã... ",Não respondida,15/11/2019, Barreiras 
Transferência de endereço cancelada," No dia 13 de novembro de 2019, ligaram para mim,  para que eu confirmasse a visita técnica para transferência de ender... ",Não respondida,15/11/2019, São Paulo 
Meu chip sem torre e outra pessoa usando minha conta de whatssapp," MEU CHIP FICOU SEM TORRE E MEU WHATSSAPP COM O NÚMERO DA VIVO APARECEU QUE A CONTA DO NÚMERO ESTAVA EM OUTRO APARELHO,... ",Não respondida,15/11/2019, Trindade 
Erro H1001," Este erro aparece toda hora ! Já troquei cabos, liguei na vivo mas eles não dão satisfação nenhuma ",Não respondida,15/11/2019, São Paulo 
Péssima qualidade de serviço, Estou cancelando minha vivo fixo por péssima qualidade de sinal e ainda querem me cobrar quebra do contrato e um absur... ,Não respondida,15/11/2019, Curitiba 
Não consigo navegar na internet, Há alguns meses estou tendo problemas com o serviço de internet disponibilizado pela empresa vivo. Praticamente não co... ,Não respondida,15/11/2019, Brasília 
Não consigo fazer o cancelamentodo meu plano., [Editado pelo Reclame Aqui]am o meu celular e eu pedi o cancelamento do meu plano da vivo .Dia 05.06.2019 me inf... ,Não respondida,15/11/2019, Almeirim 
recarga não creditada," No dia 09/11/2019, fiz uma recarga no valor de 25,00 ,via Banco do Brasil, transferência on-line e a mesma até hoje nã... ",Não respondida,15/11/2019, Barreiras 
Transferência de endereço cancelada," No dia 13 de novembro de 2019, ligaram para mim,  para que eu confirmasse a visita técnica para transferência de ender... ",Não respondida,15/11/2019, São Paulo 
Meu chip sem torre e outra pessoa usando minha conta de whatssapp," MEU CHIP FICOU SEM TORRE E MEU WHATSSAPP COM O NÚMERO DA VIVO APARECEU QUE A CONTA DO NÚMERO ESTAVA EM OUTRO APARELHO,... ",Não respondida,15/11/2019, Trindade 
Atendentes mal educados," Liguei 5 x para a central para trocar o meu plano, fui mal atendida, sofri deboche e ironia por parte dos atendentes q... ",Não respondida,15/11/2019, Passo Fundo 
Mais de 17 horas sem internet," Em pleno feriado de 15/11 a querida (sacarsmo) empresa vivo está sem serviço de internet fazem mais de 17 horas, o pro... ",Não respondida,15/11/2019, Santos 
VIVO-COBRNAÇA DE VALOR NÃO CONTRATADO," Prezado(a),,No dia 20/09/2019 fiz alteração do meu plano na Vivo. Nesse plano contratei a internet de 12 GB para... ",Não respondida,15/11/2019, Diamantina 
Internet não funciona," Minha internet não funciona desde ontem dia 14/11/2019 até o presente momento, não estabeleceu o sinal. A vivo só aleg... ",Não respondida,15/11/2019, Praia Grande 
SERVIÇOS CONTRATADOS INDEVIDAMENTE, Hoje 15/11/2019 realizei uma ligação junto a empresa VIVO no telefone 10315 para solicitar um possível desconto no meu... ,Não respondida,15/11/2019, Capivari 
MEU CELULAR NÃO FAZ  NEM RECEBE CHAMADAS., Estou há mais de 6 meses sem conseguir receber ou fazer ligações com numero vivo. Já liguei varias vezes e a vivo não ... ,Não respondida,15/11/2019, Salvador 
Internet não funciona direito," A minha internet está muito lenta , e estou de um cel para tentar resolver o problema da minha internet , eles me fala... ",Não respondida,15/11/2019, São Paulo 
Assistências técnico , Estão marcar não vem nunca  ,Não respondida,15/11/2019, Vitória 
Mudaram meu plano sem consentimento," Alteraram o plano de telefonia que eu utilizo no meu vivo fixo, para um novo c valo totalmente abusivo e excedente ao ... ",Não respondida,15/11/2019, São Bernardo do Campo 
Corte da linha," Minha linha foi bloquada por falta de pagamentos, realizei o pagamento mesmo assim a empresa não restabeleceu o serviç... ",Não respondida,15/11/2019, Paraguaçu Paulista 
Sem sinal," Boa tarde , desde que fiz a contratação tenho problemas com oscilação ( sinal )Fiz algumas reclamações, recebi a... ",Não respondida,15/11/2019, Guarulhos 
Demora no estorno do Valor pago," Boa tarde.   No dia 07/11/2019, eu fiz uma solicitação de reembolso do valor do meu pacote da vivo,que estava em... ",Não respondida,15/11/2019, Rio de Janeiro 
TV por assinatura com canais bloqueados," Desde do dia 29/10 foi feita reclamação que a TV estava com sinal bloqueado, e fiz várias ligações pedindo auxilio de ... ",Não respondida,15/11/2019, São Paulo 
Não atendimento do combinado," No dia 04/11 liguei pra vivo pra mudar meu plano família,. Ficou tudo acertado que o valor seria de R$429,00. Qdo para... ",Não respondida,15/11/2019, Brasília 
Serviços digitais II - cobrados indevidamente," Boa tarde!Apesar de ser cliente a mais de um ano vivo fibra, apenas a pouco tempo vem descrito o que exata... ",Não respondida,15/11/2019, São Paulo 
Sem serviço em 15/11/19, Pago caro pelo serviço e estou sem este serviço em pleno feriado.Ligo na Vivo e uma gravação diz que a empresa e... ,Não respondida,15/11/2019, Praia Grande 
Prestadora não resolve problema nenhum," Boa tarde, no dia 7/11 tentei contato com a vivo para mudar o endereço do meu pacote, no endereço informado não havia ... ",Não respondida,15/11/2019, Cotia 
Carmopolis não funciona o sinal vivo, Venho novamente reclamar da empresa vivo pois já fiz vários contato com a empresa a respeito de sinal fraco ou nenhum ... ,Não respondida,15/11/2019, Carmópolis de Minas 
COBRANÇA INDEVIDA DE MULTA," Cobrança indevida de multa de cancelamento por prática abusiva registrada por sua empresa de multa, por pratica ilegal... ",Não respondida,15/11/2019, Porto Alegre 
"Cobrança indevida, constrangimentos e pouco caso com cliente desde que adquiri o plano"," No mês 09/18 liguei na Vivo para fazer um pedido de internet , na qual foi me oferecido um plano de 58, 89 reais por u... ",Não respondida,15/11/2019, São Paulo 
Sem internet a três dias, Sem internet a três dias ,Não respondida,15/11/2019, Guarulhos 
Aumento excessivo do valor com planos melhores e mais baratos.," Eu possuía um plano controle de 3,5GB. O valor do plano foi aumentando e eu estava pagando 59,99 reais, até que fizera... ",Não respondida,15/11/2019, Sorocaba 
Desde manhã sem TV e internet, Desde manhã sem TV e internet ligo no 10615 como já fiz 5 x e só vão protelando os horários de conserto da rede começo... ,Não respondida,15/11/2019, Praia Grande 
"Cobranças indevidas, corte nos serviços e péssimo atendimento"," Péssima operadora, com uma equipe de atendimento pós venda pior ainda. Um verdadeiro martírio tentar resolver qualquer... ",Não respondida,15/11/2019, Brasília 
Migração para Vivo Easy não concluí.," Fiz a migração da linha 67999352811 para Vivo Easy, inclusive com o débito no cartão de crédito, o app do Vivo Easy fi... ",Não respondida,15/11/2019, Campo Grande 
Absurdo o que está acontecendo., Venho por meio dessa reclamação representar milhares de moradores da localidade onde eu moro bairro frexeiras cidade E... ,Não respondida,15/11/2019, Escada 
o aplicativo MEU VIVO há mais de seis meses nao resolve pendencia, Ha mais de seis meses venho solicitando a correção do meu e-mail pois registraram um email indevido e as atendentes me... ,Não respondida,15/11/2019, Salvador 
Porque meu celular foi bloqueado já paguei a conta, Eu paguei a fatura ontem e já cancelou o meu chip ,Não respondida,15/11/2019, Pedra Preta 
Um lixo de servico, Péssima operadora em tudo vive cortando Telefones e internet pra fazer reparos inúteis q não adianta pra n... ,Não respondida,15/11/2019, Ferraz de Vasconcelos 
Descaso com o consumidor / Não consigo cancelar, Eu tentei cancelar a  TV e internet da por ligação hoje. Protocolo 151120192620361. pois já fechei minha empresa estou... ,Não respondida,15/11/2019, Sertãozinho 
Atendente não quis fazer meu cancelamento," Liguei agora pra vivo para fazer o cancelamento da  minha internet, o atendendo falou que tinha contas em atraso então... ",Não respondida,15/11/2019, São Paulo 
Cobrança, Boa tarde No dia 6 de Agosto eu fiz um pedido de mudança de endereço Pois então a Vivo vem até minha casa não en... ,Não respondida,15/11/2019, Santo André 
Falta de vivo fibra na região," Olá, venho através dessa post , lamentár o descaso q a empresa vivo oferece para clientes da minha região ( bairro jar... ",Não respondida,15/11/2019, São Paulo 
De saco cheio dessa operadora, Á alguns  meses atrás recebi uma cobrança desta operadora e entrei em contato para verificar do que tratava pois não p... ,Não respondida,30/10/2019, São Paulo 
Cobrança Indevida," Cobraram mesmo depois De cancelar o plano e alegaram dizendo ter faturas abertas, mas meu plano Não possuía fatura era... ",Não respondida,30/10/2019, Poá 
Cobrança indevida de contrato cancelado em Março de 2019," Sou cliente da Claro, mas em Março desse ano acabei contratando a Tim porque o preço dos planos estava mais barato.... ",Não respondida,30/10/2019, Americana 
Cobrança indevida, No início de abril eu fiz o cancelamento do Tim controle e seis meses depois estão ligando falando que devo uma conta ... ,Não respondida,30/10/2019, São Paulo 
"A internet do meu Tim-Beta está bloqueada desde 8 de outubro e continuo sofrendo descontos em meu crédito (por acesso à internet), conforme mostra o App Tim. Problema não foi resolvido até agora."," Eu possuo, há uns 8 ou 9 anos, um chip Tim Beta pré-pago e costumo utilizar a internet diariamente, tanto para trabalh... ",Não respondida,30/10/2019, Lins 
Cobrança indevida," Há alguns meses, aceitei uma proposta de plano que recebi por ligação da Tim. Forneci meus dados e esperei o chip, que... ",Não respondida,30/10/2019, Belo Horizonte 
Problema com acesso ao aplicativo MEU TIM após mudança de plano, Segunda-feira fui a uma loja da TIM no Shopping Bourbon Ipiranga em Porto Alegre e troquei de aparelho e plano. Sai do... ,Não respondida,30/10/2019, Porto Alegre 
CUIDADO COM A TIM - POIS ESTÃO VENDENDO OS NÚMEROS PARA OUTRAS PESSOAS," Ontem, 29/10/19, iniciou-se um problema sem fim e sem volta.Ontem bloquearão minha linha, liguei na tim, dissera... ",Não respondida,30/10/2019, Osasco 
Não reconheço a linha como minha e não consigo cancelar, Em 13 09 19 recebi um email de cobrança da linha ****6974 a qual não reconheço como minha. Entrei com um questionament... ,Não respondida,30/10/2019, São José dos Campos 
[Editado pelo Reclame Aqui] pela operadora, foi contratado serviço esta sendo cobrado outro . ,Não respondida,30/10/2019, Londrina 
OFERECEM PLANO FIDELIDADE COMO DESCONTO," Há algum tempo liguei na Tim para cancelar meu plano pois estava desempregado, e naquele momento me ofereceram um desc... ",Não respondida,01/11/2019, Salto 
corte da linha telefonica," Sou cliente TIM há  14 anos, porém, insatisfeita com o serviço, por falta de sinal, nao consigo concluiras ligações , ... ",Não respondida,01/11/2019, São Bernardo do Campo 
Não consigo a portabilidade e a tim continua cobrança, Solicitei a portabilidade no dia 30/10/19 e hoje a TIM me envia um comunicado informando que a minha portabilidade ser... ,Não respondida,01/11/2019, São Paulo 
Sem informações sobre a entrega, Já liguei algumas vezes para o atendimento da tim para ter mais informações sobre a entrega de um aparelho comprado vi... ,Não respondida,01/11/2019, São Paulo 
Péssimo Atendimento eletrônico," Na manhã de hoje (sexta 01/11/19), tentei fazer o cancelamento de um plano pelo canal eletrônico (do próprio telefone)... ",Não respondida,01/11/2019, São Paulo 
fiz a portabilidade para tim fixo... estou sem telefone," fizemos portabilidade para usar tim fixo para empresa...estamos sem telefone, estamos sem contato, sequer ... ",Não respondida,01/11/2019, Toledo 
Fiz a portabilidade e continuo a receber contas para pagar., No mês de agosto/2019 fiz a portabilidade para outra operadora.  Desde esse momento recebo contas para pagar. ,Não respondida,01/11/2019, São Paulo 
Me sinto [Editado pelo Reclame Aqui], Dia 29/10 liguei diversas vezes na central da Tim para fazer o cancelamento do meu plano pós pago para apenas ir para ... ,Não respondida,01/11/2019, Mauá 
Não tem Sinal TIM," Fiz a mudança da minha operadora antiga para Tim e só tive problemas, tenho um sitio em Minas Gerais na cidade de Cruz... ",Não respondida,01/11/2019, São Paulo 
"Bom dia, acho bom não mandarem conta vocês fizeram coisa errada eu sou o curador da Marlene e eu comprei e disseram pra mim fornecer CPF da esposa Por que o meu não entrava, porem quando fui fazer contabilidade não fizeram so ela poderia fazer.. Já estou "," Bom dia, acho bom não mandarem conta vocês fizeram coisa errada eu sou o curador da Marlene e eu comprei e disseram pr... ",Não respondida,01/11/2019, Rio de Janeiro 
COBRANÇA INDEVIDA.," efetuei uma recarga e praticamente no mesmo momento foi debitado o valor de R$ 2,09 referente a VO-Fé e Vida - Semanal... ",Não respondida,01/11/2019, Goiânia 
TIM Adicional Dados," Solicitei o pacote adicional de dados da TIM150MB - R$5,00 por 7 diasO pacote durou menos de 4... ",Não respondida,01/11/2019, Jacareí 
CANCELAMENTO DO PLANO CONTROLE EMPRESARIAL," Boa noite!!!! Estou tentando cancelar um plano empresarial que sequer foi aprovado, mas não tem nenhum canal de atendi... ",Não respondida,01/11/2019, Sete Lagoas 
O meu chip foi broqueado sem me avisar, Tenho um número Tim já tem mais de 10 anos o meus contatos é tudo nele eles simplesmente bloquearam o número sem nem m... ,Não respondida,01/11/2019, Ribeirão do Pinhal 
Me sinto [Editado pelo Reclame Aqui] e enganada.," Estou completamente decepcionada frustada com a prestadora ,!me sinto lesionada [Editado pelo Reclame Aqui]. A ocorrên... ",Não respondida,01/11/2019, Carapicuíba 
COBRANÇA INDEVIDA," Bom dia, dia 3 de setembro efetuei a assinatura do Plano TIN BLACK FAMILIA 100gb,  com 3 linhas dependentes. porém na ... ",Não respondida,01/11/2019, Caxias do Sul 
*333 da Tim não funcionaJá vieram 2 contas e não consigo usar o número,2,Não respondida,01/11/2019, Belo Horizonte 
Nao consigo fazer ligação nem tenho internet que foi prometida devido ao plano tim smart express," Coloquei 50,00 pra adicionar o plano tim smart express até agora a internet de 5g e a propaganda toda que fizeram não ... ",Não respondida,01/11/2019, Salvador 
Cadê meu pacote de dados?," Tudo começou quando, resolvi fazer o down grade do controle B para o controle A, no dia 30/10/2019. 1o) Quando a... ",Não respondida,01/11/2019, Rio de Janeiro 
TIM cancela linha mesmo sabendo que conta estava errada," Minha fatura foi negociada com a TIM desde o início do ano em um valor. Incessantemente, todos os meses após, a conta ... ",Não respondida,01/11/2019, Niterói 
Cobrança indevida," Bom dia, meu nome é Stephanie e eu tinha um celular de conta no valor de 49,99 ,no mês 04 eu liguei e solicitei a port... ",Não respondida,01/11/2019, São Paulo 
Duplicidade," Bom dia, dia 30 solicitei um plano da Tim e o mesmo até o dia seguinte não estava disponível, imaginei que não tinha s... ",Não respondida,01/11/2019, Teresina 
Baixa pagamento," Paguei minha conta há 3 dias e até momento a mesma consta em.aberto .... estou sem.internet .... passando necessidade,... ",Não respondida,01/11/2019, São Paulo 
Queda frequente de sinal, Tenho sido frequentemente surpreendido pela má prestação de serviços desta operadora. Minha cidade vive sob constantes... ,Não respondida,01/11/2019, Belo Horizonte 
Problema no sistema da empresa," Eu tenho o pacote TIM BETA, e desde o ano passado eu virei TIM LAB, e para continuar na promoção é preciso fazer uma p... ",Não respondida,01/11/2019, São Paulo 
Cancelamento de chip, Estou desempregada a quase 3 anos não tenho condições de colocar créditos todos os meses ontem percebi que meu chip da... ,Não respondida,01/11/2019, São Bernardo do Campo 
Tim proíbe compra de recarga com cartão de crédito," A empresa me bloqueou quando tentei efetuar uma recarga. Ao remover um dos dois cartões de crédito, cadastrei um novo ... ",Não respondida,01/11/2019, Recife 
Não consigo falar com os atendentes pelo 1056," Meu pré pago foi desativado, preciso resolver com urgência e ninguém me atendê no 1056, está caindo a ligação.  Já tem... ",Não respondida,01/11/2019, Brasília 
Desliga na Cara," Estou tentando cadastrar o débito automático há quase 4 meses. Sempre que ligo reclamando, sou avisado que a validação... ",Não respondida,01/11/2019, São Paulo 
Bloqueio do meu número e a conta paga," Minha conta é débito automático, minha conta está paga desde do dia 21, desde então não recebo e nem faço ligações, ne... ",Não respondida,31/10/2019, Barueri 
Fatura em meu nome sem meu conhecimento," Hoje dia 31/10/2019, cheguei em minha residência e encontrei uma correspondência da Tim em meu nome. E nesta correspon... ",Não respondida,31/10/2019, São Bernardo do Campo 
Dificuldade todo mês para fazer recarga.," Todos os meses, quase tenho um AVC para conseguir realizar a recarga pelo app, ou uso outro recurso, ou morro de ódio,... ",Não respondida,31/10/2019, Goiânia 
Neymar Júnior experience," Estava observando minhas mensagens e observei que a fim vinha me cobrando uma tarifa de 5,90 da assinatura desse tal N... ",Não respondida,31/10/2019, Florianópolis 
Alteração do Plano Tim Controle Express, No atendimento realizado no dia 23 de outubro- número de protocolo 20191135626051- eu informei o meu desejo de migrar ... ,Não respondida,31/10/2019, Brasília 
Valor Indevido TIM Black p fidelização ," Prezados, boa noite. VENHO através desta, registrar minha indignação com a operadora, tendo em vista que p... ",Não respondida,31/10/2019, Niterói 
Cancelamento da minha linha," Prezados (as)Venho aqui expressar minha indignação contra a empresa TIM ceara, onde em junho sofri um acid... ",Não respondida,31/10/2019, Aquiraz 
CANCELAMENTO," Eu tive meu numero Cancelado por volta de recarga, entrei em contato soliicitanto a reativação e me informaram que não... ",Não respondida,31/10/2019, Teresina 
Cobrança indevida e a Tim se nega a resolver o problema.," Durante meses a Tim vem me cobrando por serviços que nunca solicitei, todo mês tinha que fazer a contestação da conta ... ",Não respondida,31/10/2019, Salvador 
Se recusam a cancelar a portabilidade, Solicitei hoje a portabilidade da claro para a tim e me arrependi porque o atendimento da tim é PÉSSIMO. Já liguei trê... ,Não respondida,31/10/2019, Rio de Janeiro 
Demora pra entregar e portabilidade contratada que não tem ," Boa noite, contratei o serviço de portabilidade pelo sit da Tim empresa em 16/10/19 plano de 8g mais ligações ilimitad... ",Não respondida,31/10/2019, Resende 
"Plano bloqueado sem razão, explicação ou solução"," Meu plano simplesmente parou de funcionar sem razão alguma desde a última terça-feira (29/10). Pacote de dados, SMS e ... ",Não respondida,31/10/2019, Santo André 
Não estão respeitando minha oferta., Sou TIM beta e apartir de abril virei Tim Beta Lab tendo direito a 20 GB de internet e esse mês quando recarreguei só ... ,Não respondida,31/10/2019, Osasco 
A tim mudou o plano de meu chip pré-pago para pré top sem minha autorização," Meu plano foi migrado para pré top sem minha autorização, sendo que, só me dei conta da alteração após perceber que me... ",Não respondida,31/10/2019, Maranguape 
Cobrança indevida," Sai da Tim para OI justamente pelo desrespeito da empresa com o cliente, aumentam a fatura sem consentimento, sem aume... ",Não respondida,31/10/2019, São José do Belmonte 
TIM PRÉ TOP - [Editado pelo Reclame Aqui] ANUNCIADO," No dia de hoje, 31/10/2019 - por mais uma vez, e já é a SEGUNDA VEZ CONSECUTIVA, logo após colocar crédito na minha li... ",Não respondida,31/10/2019, Belo Horizonte 
Cobrança indevida," Meu  Plano:TIM Controle A plus tem o valor de R$ 31,19 no dia 20/10/2019 quando fui pagar a fatura estava no valor 51,... ",Não respondida,31/10/2019, Arapongas 
Mal atendimento, Hoje liguei na Tim para falar sobre meu plano ao questionada que minha fatura que estava errada a atendente se estress... ,Não respondida,31/10/2019, Santo André 
COBRANÇA INDEVIDA," A TIM trate seus clientes com desprezo, sempre esta sem sistema ou a ligação cai, prometem um valor na fatura e derrep... ",Não respondida,31/10/2019, Sumaré 
Portabilidade e chip nao recebido, Realizei via site a portabilidade do meu numero atual para a Tim. Essa já é a segunda linha a qual realizo a portabili... ,Não respondida,01/11/2019, Rio de Janeiro 
Mudança de plano sem autorização," A Tim entrou em contato comigo via telefone oferecendo um serviço de melhoria de plano e na ligação a atendente, insis... ",Não respondida,31/10/2019, São Paulo 
A internet não funciona no último dia do mês," Sempre, no último dia do mês, apesar de ser Tim Beta, estou ficando sem internet. Apesar de ainda não ter gastado todo... ",Não respondida,31/10/2019, Campina Grande 
Chip não Funciona," Nas vésperas de um casamento em Minas Gerais, eu moro no Rio de Janeiro, comprei um chip Tim no valor de 20 Reais. Dia... ",Não respondida,31/10/2019, Rio de Janeiro 
Cancelamento indevido e péssimo atendimento ," Faz 10 anos tenho esse numero nessa operadora dia 29/10/2019 foi cancelado sem nenhum aviso prévio e sem motivo, ligue... ",Não respondida,31/10/2019, Osasco 
Loja Tim shopping Interlagos e TIM," No dia 26.10 solicitei uma mudança de titularidade e me disseram que em 24 horas estaria resolvido, o erro já está ai ... ",Não respondida,31/10/2019, São Paulo 
Quero saber porque cancelaram meu número?, Meu chip foi bloqueado ,Não respondida,31/10/2019, Tenente Laurentino Cruz 
Meu número foi cancelado sem aviso prévio, Dia 30/10 percebi que meu chip simplesmente parou de funcionar. Fui até uma loja da operadora em questão e me informar... ,Não respondida,31/10/2019, Maringá 
A Tim tirou meu beta lab," Esse mês minha oferta beta lab não entrou no meu celular. Tentei ligar na Tim, mas é muito difícil falar no SAC deles.... ",Não respondida,31/10/2019, São Paulo 
Aumento do valor do plano sem minha autorização," Há tempos eu tinha um plano da Tim com o valor de R$ 59,90 mensais. No início do mês foi debitado no meu cartão o valo... ",Não respondida,31/10/2019, Fortaleza 
Cobrança indevida e corte do serviço," Ocorreu que atrasei fatura do plano, entrei em contato e negociei um desconto para pagamento a vista. Efetuei o pagame... ",Não respondida,31/10/2019, Toledo 
CHAMADAS DE TERCEIROS," RECEBENDO INÚMERAS LIGAÇÕES DURANTE O DIA DE PESSOAS DIZENDO QUE ESTÃO APENAS RETORNANDO MINHAS LIGAÇÕES, SENDO QUE EU... ",Não respondida,31/10/2019, Fortaleza 
Tim Music Deezer," Há aproximadamente dois anos levei meu número para a TIM, à época optei pelo plano TIM COMTROLE. Um dos serviços conte... ",Não respondida,31/10/2019, Mata Grande 
Atendente muito arrogante e sem profissionalismo!, Liguei calmamente para poder sanar uma dúvida a respeito de uma fatura sobre meu plano Tim Controle que foi cancelado ... ,Não respondida,31/10/2019, Mauá 
Tudo..., Absolutamente tudo na TIM é ruim. Eu realmente não sei nem por onde começae. Um serviço de telemarketing do pior que j... ,Não respondida,31/10/2019, Belo Horizonte 
Conta cobrada por algo nem recebido, Boa noite eu solicitei um chip da tim controle pela loja virtual mas ao receber um email informando que havia sido ent... ,Não respondida,31/10/2019, Rio de Janeiro 
Fechem a central de atendimento," Tim, por favor fechem a central de atendimento, os atendentes não sabem resolver nada, só sabem abrir reclamação, e qu... ",Não respondida,31/10/2019, São Bernardo do Campo 
Promotora me vendeu um número usado, Comprei um chip pra minha mãe que é idosa. A promotora que fica na estação Pinheiros do metrô me enganou e vendeu um c... ,Não respondida,31/10/2019, Taboão da Serra 
Tim BETA, Sou Tim Beta e recentemente mudei de categoria e recebo mensagem todos os dias falando que posso convidar amigos.... ,Não respondida,31/10/2019, Curitiba 
Pagamento não atualizado," Paguei um boleto no valor de R$64,99 no dia 07/10 com o vencimento para o dia 15/10Banco já fez o repasse a Tim ... ",Não respondida,31/10/2019, São José dos Campos 
Cancelamento do chip, Cancelaram o número (41) 995149717 da minha irmã e eles não avisaram que ia ser cancelado e eu sei que não pode ser ca... ,Não respondida,31/10/2019, Curitiba 
Contratação de plano sem autorização," Simplesmente descontaram R$ 30.00 de um ""suposta"" contratação de mudança de plano sem minha autorização. A f... ",Não respondida,31/10/2019, Joinville 
Operadora se recusa a prestar um atendimento," A meses que estou na luta com esta operadora, que por sinal é um lixo, ja liguei varias vezes os atendentes e os super... ",Não respondida,31/10/2019, Belo Horizonte 
Sem sinal a mais de 48hrs," Já são mais de 48hrs sem sinal da Tim no celular, no twitter pediram para eu fazer um teste e só! Não funciona, ainda ... ",Não respondida,31/10/2019, Curitiba 
FORA DA LEI - AUMENTO RECARGA (685)," Em 2019 querem acabar com meus créditos me enfiando goela abaixo um tal de Pré TOP"", para subtrair R$ 42,86 por m... ",Não respondida,31/10/2019, Santo André 
Cancelamento de plano," Ligo na tim para cancelar meu plano pos pago, e tenho que pagar um mes a mais para poder cancelar o plano, é um absurd... ",Não respondida,31/10/2019, Curitiba 
TIM demora a fazer portabilidade e cobra indevidamente, Recebi ligação da TIM em setembro oferecendo um novo plano. Apos apresentação do pacote completo e como precisava redu... ,Não respondida,31/10/2019, Diadema 
Fatura duplicada," Recebi duas faturas no mês de outubro. Do dia 20/10 já foi paga , porém do dia 07/10 não foi paga. Solicito que seja e... ",Não respondida,31/10/2019, Rio de Janeiro 
Tim beta, Recebi um convite para ser ruim beta de um amigo cadastrei mas não funcionou liguei e ruim informada que não deu certo... ,Não respondida,31/10/2019, Diadema 
CANCELEI O PEDIDO DE PORTABILIDADE E MESMO ASSIM ME PORTARÃO," NA DATA 17/10/19 FIZ O PEDIDO DE CANCELAMENTO DE PORTABILIDADE, PROTOCOLO: 20191115368649, PORTABILIDADE QUE OCORRERA ... ",Não respondida,31/10/2019, Curitiba 
Propaganda enganosa, Há dois meses atrás recebi uma ligação do atendimento tim para fazer a migração do meu plano controle para o tim black... ,Não respondida,31/10/2019, Uberlândia 
Fui cobrado em uma mudança de planos e não liberaram o serviço, Dia 30/10/2019 fiz uma atualização de plano via o site da operadora. No momento do pagamento escolhi a opção via cartã... ,Não respondida,31/10/2019, Viamão 
Fui cobrado em uma mudança de planos e não liberaram o serviço, Dia 30/10/2019 fiz uma atualização de plano via o site da operadora. No momento do pagamento escolhi a opção via cartã... ,Não respondida,31/10/2019, Viamão 
UM VERDADEIRO LIXO PROPOSITAL," Fiz assinatura do plano TimFamilia e nele esta incluso um único benefício que achei atrativo no plano, benefício esse ... ",Não respondida,31/10/2019, Blumenau 
"VENDEDORA INFORMOU QUE NÃO TINHA FIDELIDADE, SOLICITEI O CANCELAMENTO VEIO UMA MULTA"," VENDEDORA INFORMOU QUE NÃO TINHA FIDELIDADE, SOLICITEI O CANCELAMENTO VEIO UMA MULTA ",Não respondida,31/10/2019, Itabuna 
Nao quiseram yrocar o aparelho, Fui no minas shoping em bh e comprei um celular pelo meu plano da tim ontem a noite dia 30/10/2019. Quando fui catrega... ,Não respondida,31/10/2019, Belo Horizonte 
Consumiram minha recarga através de um serviço não solicitado," Mudaram meu plano pré pago sem minha autorização para um plano ""pré TOP"" que de forma imediata consumiu meus... ",Não respondida,31/10/2019, São Paulo 
Conta paga e Vendedor Grosseiro," Na data de hoje, 31/10, as 14:30 me desloquei até o shopping midway mall para resolver um problema na conta do celular... ",Não respondida,31/10/2019, Natal 
Cobrança indevida após portabilidade.," Realizei portabilidade para outra operadora que se efetivou no dia 19/09. No entanto, a franquia do plano Tim renovou ... ",Não respondida,31/10/2019, Maringá 
Atendimento péssimo," Solicitei uma portabilidade ontem dia 30/10 Hj tentei logar para pedir o cancelamento , um atendimento péssimo de uma ... ",Não respondida,31/10/2019, Mesquita 
Chip tim, Eu tenho uma empresa e o meu celular comporta somente dois chip Então eu tenho chip pessoal e o  chip da empresa mas e... ,Não respondida,31/10/2019, Caieiras 
"[Editado pelo Reclame Aqui] de crédito, cancelamento da linha"," A Tim é uma das maiores decepções que tive com operadoras,  já não bastassem eles comerem todos os dias do meu pré-pag... ",Não respondida,31/10/2019, Hortolândia 
